City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Mahebourg,MU,2022-01-30 17:36:33,-20.4081,57.7,80.89,78,75,14.97
67,Mataura,NZ,2022-01-30 17:36:33,-46.1927,168.8643,58.48,99,45,1.9
68,Gwadar,PK,2022-01-30 17:36:34,25.1216,62.3254,72.12,75,0,16.04
69,Vaini,TO,2022-01-30 17:36:34,-21.2,-175.2,80.47,76,100,11.72
70,Tuam,IE,2022-01-30 17:36:34,53.5167,-8.85,46.56,78,99,19.3
71,Bredasdorp,ZA,2022-01-30 17:36:34,-34.5322,20.0403,74.28,73,20,16.11
72,Todos Santos,MX,2022-01-30 17:36:35,23.45,-110.2167,75.11,46,83,7.02
73,Oussouye,SN,2022-01-30 17:36:35,12.485,-16.5469,96.98,46,75,16.04
74,East London,ZA,2022-01-30 17:36:17,-33.0153,27.9116,76.14,83,0,14.97
75,Avarua,CK,2022-01-30 17:36:35,-21.2078,-159.775,78.85,89,75,10.36
76,Port Elizabeth,ZA,2022-01-30 17:36:36,-33.918,25.5701,77.09,83,20,18.41
77,Bambous Virieux,MU,2022-01-30 17:36:36,-20.3428,57.7575,80.85,78,75,14.97
78,Luocheng,CN,2022-01-30 17:36:36,29.3848,104.0286,42.49,82,99,2.51
79,Mengyin,CN,2022-01-30 17:36:36,35.7069,117.9264,32.14,72,34,6.8
80,Bafata,GW,2022-01-30 17:36:37,12.1667,-14.75,100.92,11,8,0.96
81,Upernavik,GL,2022-01-30 17:36:37,72.7868,-56.1549,-3.01,71,100,9.6
82,Springdale,US,2022-01-30 17:34:39,36.1867,-94.1288,53.04,35,0,4.0
83,Muros,ES,2022-01-30 17:36:37,42.7762,-9.0603,64.9,65,0,3.27
84,Ponta Do Sol,PT,2022-01-30 17:36:38,32.6667,-17.1,69.71,50,0,7.63
85,Guiren,CN,2022-01-30 17:36:38,33.6697,118.1889,34.56,71,6,6.51
86,Castro,BR,2022-01-30 17:34:31,-24.7911,-50.0119,64.58,98,100,5.5
87,Dangriga,BZ,2022-01-30 17:34:52,16.9692,-88.2321,74.98,57,51,8.93
88,Nalgonda,IN,2022-01-30 17:36:38,17.05,79.2667,68.16,31,4,3.04
89,Arraial Do Cabo,BR,2022-01-30 17:36:39,-22.9661,-42.0278,87.76,62,40,4.61
90,Dunedin,NZ,2022-01-30 17:36:39,-45.8742,170.5036,54.81,90,32,4.59
91,Amparafaravola,MG,2022-01-30 17:36:39,-17.5833,48.2167,68.11,96,18,2.55
92,Lourdes,FR,2022-01-30 17:36:39,43.1,-0.05,33.28,100,100,4.61
93,New Norfolk,AU,2022-01-30 17:34:31,-42.7826,147.0587,56.66,76,3,1.99
94,Tepusteca,HN,2022-01-30 17:37:40,15.4167,-86.3167,60.08,99,100,2.82
95,Jinan,CN,2022-01-30 17:37:40,36.6683,116.9972,36.39,68,34,11.1
96,Gamba,GA,2022-01-30 17:37:40,-2.65,10.0,78.57,82,98,4.65
97,Torma,EE,2022-01-30 17:37:41,58.8128,26.7383,32.45,99,100,4.34
98,Souillac,MU,2022-01-30 17:37:41,-20.5167,57.5167,80.98,78,75,14.97
99,Plastun,RU,2022-01-30 17:37:41,44.7561,136.2939,0.0,78,0,8.3
100,Airai,TL,2022-01-30 17:37:41,-8.9266,125.4092,61.36,94,96,3.67
101,Bilma,NE,2022-01-30 17:37:42,18.6853,12.9164,64.58,15,1,13.65
102,Khakhea,BW,2022-01-30 17:37:42,-24.6895,23.494,71.64,70,99,13.31
103,Cayenne,GF,2022-01-30 17:33:16,4.9333,-52.3333,80.64,84,100,5.01
104,Sur,OM,2022-01-30 17:37:42,22.5667,59.5289,72.28,67,2,1.3
105,Saint-Augustin,CA,2022-01-30 17:37:43,51.226,-58.6502,28.92,95,99,24.45
106,Dubbo,AU,2022-01-30 17:37:43,-32.25,148.6167,68.13,94,54,9.22
107,Lebu,CL,2022-01-30 17:36:51,-37.6167,-73.65,63.14,66,55,16.91
108,Faanui,PF,2022-01-30 17:37:43,-16.4833,-151.75,79.77,73,68,6.87
109,Nouadhibou,MR,2022-01-30 17:37:43,20.931,-17.0347,69.78,64,96,14.97
110,Sitka,US,2022-01-30 17:37:44,57.0531,-135.33,35.49,80,100,11.5
111,Kodinsk,RU,2022-01-30 17:37:44,58.6881,99.1844,-10.03,100,96,0.94
112,Nelson,NZ,2022-01-30 17:33:29,-41.2833,173.2833,61.29,78,7,4.0
113,Gat,IL,2022-01-30 17:37:44,31.61,34.7642,54.39,100,6,3.44
114,Broome,US,2022-01-30 17:37:45,42.2506,-75.833,21.22,65,0,3.0
115,Huntsville,US,2022-01-30 17:37:45,34.7304,-86.5861,51.89,46,0,4.0
116,Bluff,NZ,2022-01-30 17:36:50,-46.6,168.3333,58.8,92,87,3.58
117,Fairbanks,US,2022-01-30 17:37:45,64.8378,-147.7164,-28.98,67,0,0.0
118,Alyangula,AU,2022-01-30 17:37:46,-13.8483,136.4192,80.47,89,40,10.36
119,Fotolivos,GR,2022-01-30 17:37:46,41.0667,24.0667,45.46,58,8,2.21
120,Rio Gallegos,AR,2022-01-30 17:37:46,-51.6226,-69.2181,57.25,28,40,32.21
121,Nhulunbuy,AU,2022-01-30 17:37:46,-12.2333,136.7667,79.41,89,40,12.66
122,Kiama,AU,2022-01-30 17:37:47,-34.6833,150.8667,69.28,95,83,3.6
123,Omboue,GA,2022-01-30 17:37:47,-1.5746,9.2618,79.25,79,100,4.36
124,Sisimiut,GL,2022-01-30 17:37:47,66.9395,-53.6735,10.94,79,100,21.27
125,Karratha,AU,2022-01-30 17:37:47,-20.7377,116.8463,83.5,60,49,22.24
126,Hatton,LK,2022-01-30 17:37:48,6.8916,80.5955,62.33,94,39,2.01
127,Christchurch,NZ,2022-01-30 17:35:19,-43.5333,172.6333,63.0,84,58,1.01
128,Necochea,AR,2022-01-30 17:37:48,-38.5473,-58.7368,76.03,63,90,20.51
129,Shingu,JP,2022-01-30 17:37:48,33.7333,135.9833,37.26,76,66,7.52
130,Itamaraca,BR,2022-01-30 17:37:49,-7.7478,-34.8256,88.48,66,100,10.38
131,Ribeira Grande,PT,2022-01-30 17:33:05,38.5167,-28.7,59.4,72,40,19.57
132,Thompson,CA,2022-01-30 17:37:49,55.7435,-97.8558,1.56,78,100,2.3
133,Tallahassee,US,2022-01-30 17:37:49,30.4383,-84.2807,57.85,37,0,1.01
134,College,US,2022-01-30 17:37:50,64.8569,-147.8028,-29.0,66,20,0.0
135,Cangucu,BR,2022-01-30 17:37:50,-31.395,-52.6756,78.01,51,25,10.92
136,Maun,BW,2022-01-30 17:37:50,-19.9833,23.4167,69.26,86,91,8.72
137,Hithadhoo,MV,2022-01-30 17:34:32,-0.6,73.0833,81.97,69,100,8.43
138,Sumpong,PH,2022-01-30 17:38:50,8.1633,125.1183,68.29,96,35,1.23
139,Fort Abbas,PK,2022-01-30 17:38:51,29.1925,72.8536,61.29,21,0,2.08
140,Naron,ES,2022-01-30 17:38:51,43.5167,-8.1528,56.25,77,20,4.38
141,Chokurdakh,RU,2022-01-30 17:38:51,70.6333,147.9167,-29.83,89,33,1.07
142,Nikolskoye,RU,2022-01-30 17:38:52,59.7035,30.7861,30.7,96,100,7.47
143,Beloha,MG,2022-01-30 17:38:52,-25.1667,45.05,74.57,68,88,15.77
144,Tambura,SS,2022-01-30 17:38:52,5.6,27.4667,77.4,19,79,4.9
145,Mayskiy,RU,2022-01-30 17:38:52,47.6931,40.1025,33.21,93,99,13.47
146,Ambilobe,MG,2022-01-30 17:38:53,-13.2,49.05,75.69,93,73,2.19
147,Gweta,BW,2022-01-30 17:38:53,-20.1833,25.2333,72.05,78,75,13.22
148,Sioux Lookout,CA,2022-01-30 17:38:53,50.1001,-91.917,-0.02,78,100,2.3
149,Mulchen,CL,2022-01-30 17:38:54,-37.7167,-72.2333,76.32,34,26,7.36
150,Kirakira,SB,2022-01-30 17:38:54,-10.4544,161.9205,80.46,83,100,4.27
151,Port Alfred,ZA,2022-01-30 17:34:29,-33.5906,26.891,74.97,86,89,21.14
152,Lompoc,US,2022-01-30 17:35:25,34.6391,-120.4579,69.13,53,0,5.99
153,Tiksi,RU,2022-01-30 17:38:54,71.6872,128.8694,-17.25,100,82,4.14
154,Sadovo,BG,2022-01-30 17:38:54,42.1333,24.9333,46.72,46,100,14.97
155,Victoria,HK,2022-01-30 17:34:08,22.2855,114.1577,60.33,75,52,4.0
156,Xai-Xai,MZ,2022-01-30 17:38:55,-25.0519,33.6442,75.9,79,16,8.37
157,Bilibino,RU,2022-01-30 17:38:55,68.0546,166.4372,-8.66,92,100,5.01
158,Olafsvik,IS,2022-01-30 17:38:55,64.8945,-23.7142,28.67,59,100,38.23
159,Aban,RU,2022-01-30 17:38:56,56.67,96.06,-7.62,99,96,1.5
160,Severo-Kurilsk,RU,2022-01-30 17:38:56,50.6789,156.125,26.37,92,100,14.63
161,Ballina,AU,2022-01-30 17:38:56,-28.8667,153.5667,72.79,100,75,5.75
162,Amahai,ID,2022-01-30 17:38:56,-3.3333,128.9167,78.98,82,100,8.46
163,Pozo Colorado,PY,2022-01-30 17:38:57,-23.4923,-58.7972,100.96,17,0,4.16
164,Pevek,RU,2022-01-30 17:38:57,69.7008,170.3133,-11.34,95,100,3.36
165,Zlobin,HR,2022-01-30 17:38:57,45.2924,14.6541,38.62,82,0,2.3
166,Kutum,SD,2022-01-30 17:35:47,14.2,24.6667,61.97,14,1,10.8
167,Kupang,ID,2022-01-30 17:38:58,-10.1667,123.5833,81.18,89,75,6.91
168,Liverpool,GB,2022-01-30 17:38:58,53.4106,-2.9779,46.78,78,75,5.01
169,Cloquet,US,2022-01-30 17:38:58,46.7216,-92.4594,19.85,70,76,0.0
170,Mangan,IN,2022-01-30 17:38:58,27.5167,88.5333,51.06,69,91,2.91
171,Shelburne,CA,2022-01-30 17:38:36,44.0787,-80.2041,19.9,65,71,9.13
172,Cockburn Town,TC,2022-01-30 17:36:34,21.4612,-71.1419,78.76,65,40,17.27
173,Barcelona,ES,2022-01-30 17:38:03,41.3888,2.159,61.93,48,0,1.99
174,Khonsa,IN,2022-01-30 17:38:59,27.0167,95.5667,45.86,84,22,3.51
175,Faya,SA,2022-01-30 17:38:59,18.3851,42.4509,55.92,80,10,5.5
176,Dingle,PH,2022-01-30 17:39:00,10.9995,122.6711,75.42,92,78,2.51
177,Yellowknife,CA,2022-01-30 17:34:17,62.456,-114.3525,-14.28,76,100,10.36
178,Mahibadhoo,MV,2022-01-30 17:39:00,3.7833,72.9667,82.42,74,100,12.93
179,Nishihara,JP,2022-01-30 17:39:00,26.1842,127.7558,58.28,58,75,27.63
180,Araouane,ML,2022-01-30 17:40:01,18.9048,-3.5265,80.83,12,17,10.63
181,Mkuranga,TZ,2022-01-30 17:40:01,-7.118,39.2078,74.28,90,84,4.18
182,Bara,NG,2022-01-30 17:40:01,10.3744,10.7288,82.18,14,94,9.19
183,Kununurra,AU,2022-01-30 17:40:02,-15.7667,128.7333,80.58,78,100,14.97
184,Amalapuram,IN,2022-01-30 17:40:02,16.5833,82.0167,66.78,94,3,0.27
185,Georgetown,MY,2022-01-30 17:35:15,5.4112,100.3354,83.89,89,20,0.0
186,Shimoda,JP,2022-01-30 17:40:02,34.6667,138.95,39.11,64,99,12.26
187,Labrea,BR,2022-01-30 17:40:03,-7.2586,-64.7981,80.46,80,100,2.89
188,Qaanaaq,GL,2022-01-30 17:40:03,77.484,-69.3632,-7.49,71,100,11.43
189,Hami,CN,2022-01-30 17:40:03,42.8,93.45,24.17,39,100,1.97
190,Pochutla,MX,2022-01-30 17:40:04,15.7432,-96.4661,87.82,34,0,7.18
191,Carnarvon,AU,2022-01-30 17:40:04,-24.8667,113.6333,80.67,74,13,14.97
192,Teya,RU,2022-01-30 17:40:04,60.3778,92.6267,-6.27,100,97,3.09
193,Saint-Philippe,RE,2022-01-30 17:40:04,-21.3585,55.7679,80.19,79,60,10.74
194,Maputo,MZ,2022-01-30 17:40:05,-25.9653,32.5892,76.68,90,75,1.01
195,Alexandria,EG,2022-01-30 17:39:28,31.2156,29.9553,56.01,45,98,12.21
196,Sukhinichi,RU,2022-01-30 17:38:23,54.0999,35.3425,25.57,96,100,10.54
197,Armilla,ES,2022-01-30 17:40:05,37.141,-3.6185,64.99,24,0,0.0
198,Sao Filipe,CV,2022-01-30 17:40:05,14.8961,-24.4956,71.82,70,100,15.59
199,Sibolga,ID,2022-01-30 17:40:06,1.7427,98.7792,76.48,90,98,2.51
200,Bengkulu,ID,2022-01-30 17:40:06,-3.8004,102.2655,75.9,93,100,4.97
201,Saint Anthony,US,2022-01-30 17:40:06,45.0205,-93.218,20.28,68,0,1.01
202,Aykhal,RU,2022-01-30 17:40:06,66.0,111.5,-21.89,100,59,3.15
203,Quatre Cocos,MU,2022-01-30 17:40:07,-20.2078,57.7625,80.71,84,55,17.96
204,Sao Gabriel Da Cachoeira,BR,2022-01-30 17:40:07,-0.1303,-67.0892,87.6,66,40,5.75
205,Hailey,US,2022-01-30 17:40:07,43.5196,-114.3153,13.86,57,0,6.91
206,Nanortalik,GL,2022-01-30 17:40:08,60.1432,-45.2371,18.1,67,100,10.74
207,Champerico,GT,2022-01-30 17:40:08,14.3,-91.9167,91.35,60,5,7.54
208,Along,IN,2022-01-30 17:40:08,28.1667,94.7667,46.74,77,74,1.52
209,Aklavik,CA,2022-01-30 17:40:09,68.2191,-135.0107,1.4,78,75,4.61
210,Hambantota,LK,2022-01-30 17:38:08,6.1241,81.1185,77.38,87,16,11.74
211,Saint George,US,2022-01-30 17:35:11,37.1041,-113.5841,49.35,31,0,1.01
212,Iquique,CL,2022-01-30 17:40:09,-20.2208,-70.1431,75.24,66,1,3.83
213,Kajiado,KE,2022-01-30 17:40:09,-1.8524,36.7768,71.08,69,96,16.91
214,Atar,MR,2022-01-30 17:40:10,20.5169,-13.0499,89.22,8,100,7.96
215,Omsukchan,RU,2022-01-30 17:38:45,62.5333,155.8,-15.48,100,100,6.31
216,Sakakah,SA,2022-01-30 17:40:10,29.9697,40.2064,56.77,40,63,12.71
217,Lohja,FI,2022-01-30 17:40:10,60.2486,24.0653,27.21,94,100,13.65
218,Colares,PT,2022-01-30 17:40:10,38.7992,-9.4469,61.79,48,0,5.01
219,Provideniya,RU,2022-01-30 17:40:11,64.3833,-173.3,5.32,80,1,7.87
220,Rancho Palos Verdes,US,2022-01-30 17:40:11,33.7445,-118.387,69.12,46,0,1.99
221,Fayaoue,NC,2022-01-30 17:40:11,-20.65,166.5333,81.28,81,98,12.75
222,Plettenberg Bay,ZA,2022-01-30 17:40:12,-34.0527,23.3716,71.26,91,71,7.16
223,San Jose,US,2022-01-30 17:36:07,37.3394,-121.895,58.41,63,20,3.44
