City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
240,Castro,BR,75.09,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
241,Dingle,PH,75.09,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
242,Banjar,ID,78.66,broken clouds,-8.19,114.9675,The Hamsa Resort
246,Necochea,AR,78.04,light rain,-38.5473,-58.7368,dyd -mar Hotel
249,Catuday,PH,77.92,few clouds,16.2923,119.8062,Benjie's Kubo & Cottages
250,Monrovia,LR,87.57,clear sky,6.3005,-10.7969,Sunset Inn
251,Bairiki,KI,80.6,light rain,1.3292,172.9752,Tarawa Boutique Hotel
252,Sinnamary,GF,79.48,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
256,Saint-Philippe,RE,80.15,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
260,Diamantino,BR,85.5,light rain,-14.4086,-56.4461,Hotel Delta
261,Waingapu,ID,78.87,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
268,Richards Bay,ZA,79.38,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
270,Yeppoon,AU,76.78,overcast clouds,-23.1333,150.7333,Villa Mar Colina
275,Diapaga,BF,81.64,few clouds,12.0708,1.7889,
276,Neiafu,TO,80.31,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
277,Poya,NC,78.39,light rain,-21.35,165.15,
287,Touros,BR,86.9,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
289,Vao,NC,79.92,light rain,-22.6667,167.4833,Hotel Kou-Bugny
294,Zuenoula,CI,88.61,clear sky,7.4292,-6.0431,Hotel Prestige Zla
295,Alappuzha,IN,78.62,clear sky,9.49,76.3264,Panoramic Sea Resort
296,Santa Cruz,BO,89.65,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
305,Tual,ID,81.82,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
310,Paka,MY,80.53,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
321,Mahebourg,MU,80.89,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
322,Hobyo,SO,77.7,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
323,La Plata,AR,81.99,overcast clouds,-34.9215,-57.9545,Hotel Corregidor
329,Alta Floresta,BR,89.42,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
332,Dhidhdhoo,MV,80.89,clear sky,6.8833,73.1,Dhidhoo beach
338,Santa Rosa,PH,77.11,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
339,Meulaboh,ID,75.83,overcast clouds,4.1363,96.1285,Kost Pria
349,Eydhafushi,MV,81.0,clear sky,5.1033,73.0708,Soneva Fushi
351,Lugus,PH,80.38,overcast clouds,5.7036,120.8203,
353,Vallenar,CL,85.08,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
355,Pangai,TO,81.25,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
357,Tevaitoa,PF,79.86,broken clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
361,Moindou,NC,75.15,overcast clouds,-21.6924,165.677,Equi-lodge de Moindou
363,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
370,Cabo San Lucas,MX,75.51,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
373,San Cristobal,VE,84.38,overcast clouds,7.7669,-72.225,Pirineos
375,Xuddur,SO,80.92,broken clouds,4.1213,43.8894,Banjanay Hotel
376,Caravelas,BR,84.24,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
382,Kimparana,ML,85.14,clear sky,12.8347,-4.9244,
384,Itarema,BR,85.23,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
386,Pimentel,PE,80.89,clear sky,-6.8367,-79.9342,Casona Del Muelle
388,Sisophon,KH,80.35,overcast clouds,13.5859,102.9737,Pyramid Hotel
391,Mandiana,GN,86.86,clear sky,10.6333,-8.6833,Motels rouzo
402,Rio Tuba,PH,79.83,scattered clouds,8.5061,117.4317,Jjas Pension House
406,Barao De Melgaco,BR,84.72,broken clouds,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
407,Maningrida,AU,78.04,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
410,Sambava,MG,79.03,overcast clouds,-14.2667,50.1667,Melrose
412,Lhokseumawe,ID,76.32,scattered clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
416,Marsabit,KE,77.52,overcast clouds,2.3284,37.9899,Chicho Hotel
417,Nobres,BR,85.05,broken clouds,-14.7203,-56.3275,Hotel Portal Nobres
419,Camocim,BR,83.16,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
420,Fare,PF,80.17,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
423,Axim,GH,81.84,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
427,Hualmay,PE,76.64,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
429,Pimenta Bueno,BR,75.85,overcast clouds,-11.6725,-61.1936,Cristalina Palace Hotel
431,Bitung,ID,76.05,overcast clouds,1.4451,125.1824,K2 Lembeh
435,Karangasem,ID,77.88,broken clouds,-8.45,115.6167,Villa Campuhan
440,Meiganga,CM,77.27,broken clouds,6.5167,14.3,DFR HOUSE
442,Nakasongola,UG,77.11,overcast clouds,1.3089,32.4564,Norena Hotel Nakasongola
444,Nouadhibou,MR,85.98,dust,20.931,-17.0347,El Medina
449,Bubaque,GW,78.12,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
451,Kirakira,SB,78.1,overcast clouds,-10.4544,161.9205,SanBiz Lodge
454,Waycross,US,78.85,clear sky,31.2136,-82.354,Super 8 by Wyndham Waycross GA
458,Lufilufi,WS,81.27,overcast clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
460,Obo,CF,82.92,scattered clouds,5.3998,26.4869,
464,Bara,NG,75.65,clear sky,10.3744,10.7288,
466,Cockburn Town,TC,75.42,clear sky,21.4612,-71.1419,Osprey Beach Hotel
